Circle,Fixed-2010,Fixed-2011,Fixed-2012,Fixed-2013,Wireless-2010,Wireless-2011,Wireless-2012,Wireless-2013
Andaman & Nicobar,0.02,NA,NA,NA,0.13,NA,NA,NA
Andhra Pradesh,2.46,2.37,2.36,2.24,45.62,60.68,66.83,64.36
Assam,0.31,0.26,0.23,0.19,8.76,11.67,14.21,14.39
Bihar,0.97,1.20,0.61,0.39,35.66,53.54,63.48,60.30
Chhatisgarh,0.27,NA,NA,NA,1.11,NA,NA,NA
Gujarat,2.08,1.95,1.83,1.79,32.35,46.96,53.32,51.69
Haryana,0.82,0.65,0.59,0.56,14.13,20.39,22.56,19.54
Himachal Pradesh,0.36,0.34,0.31,0.28,4.99,7.22,7.97,7.02
Jammu & Kashmir,0.23,0.22,0.20,0.20,5.55,5.75,6.31,6.84
Jharkhand,0.41,NA,NA,NA,1.31,NA,NA,NA
Karnataka,2.78,2.74,2.69,2.44,37.13,49.45,55.71,52.91
Kerala,3.46,3.00,3.19,3.06,24.19,31.36,34.01,30.69
Madhya Pradesh,1.30,1.38,1.14,1.12,30.87,45.83,51.62,52.16
Maharashtra,3.01,2.85,2.65,2.47,43.52,61.72,70.47,68.40
North-East - I,0.20,0.27,0.25,0.19,4.74,7.18,8.52,8.96
North-East - II,0.13,NA,NA,NA,0.57,NA,NA,NA
Orissa,0.61,0.57,0.46,0.37,15.27,22.42,26.62,24.60
Punjab,1.60,1.58,1.44,1.32,20.10,28.76,31.95,29.46
Rajasthan,1.53,1.29,1.16,1.01,33.74,43.10,49.16,48.60
Tamil Nadu,2.11,1.98,3.19,3.11,42.34,56.73,77.68,72.41
Uttarakhand,0.28,NA,NA,NA,1.08,NA,NA,NA
Uttar Pradesh - [E],1.50,1.48,1.27,1.05,44.03,63.68,75.07,73.82
Uttar Pradesh - [W],1.04,0.86,0.80,0.77,29.57,45.77,53.64,48.40
West Bengal,0.89,0.76,0.68,0.55,25.04,39.66,46.27,41.16
Kolkatta,1.46,1.40,1.18,1.14,16.40,23.21,24.99,21.26
Chennai,1.47,1.48,NA,NA,11.35,12.90,NA,NA
Delhi,2.71,2.84,2.91,2.96,28.30,38.82,42.49,40.43
Mumbai,2.95,2.99,3.01,2.98,26.48,34.80,36.28,30.37
